SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
MaxMun_51334,1292,975,2560,1806,417,4084,5039,3750,1218,6872,2880,2991,1881,4094,833,1911,2378,732,1439,1322,5214,1351,6482,4859,1017,7200,9310,6677,5080,5811,151,472,456,2707,1149,1015,3375,1835,414,3880,6159,4421,1165,6225,3274,3209,2010,4327,817,1884,1638,943,2067,1920,5425,1193,6124,4513,1033,8623,8392,5217,3973,5907,301,401,333,2690,2.49881,2.50208,105260,105855,1.95566e+06
MaxMun_51335,1413,646,2180,1427,389,3164,4716,3362,1033,5545,2664,3049,2002,2956,666,1472,1530,568,1401,1305,4569,1143,5800,3663,637,5408,8301,4879,3619,3682,205,586,434,2031,935,937,2003,1401,311,3073,6058,2986,1126,4417,2461,2656,2027,3373,698,1885,1361,793,1490,1327,4182,1450,5998,3843,661,5972,7027,4815,3614,3414,226,352,316,1955,2.55129,2.59705,86446.8,85145.8,1.59514e+06
MaxMun_51336,1142,704,2346,1345,348,3298,5085,3250,1278,4745,3022,2875,1869,2804,696,1502,1966,594,1441,1267,4562,1386,5471,4076,1004,6278,8002,5769,4329,4809,178,380,599,2441,1233,831,2819,1590,339,3440,5768,3347,1177,5152,2827,2932,1849,3514,482,1895,1665,981,1740,1650,4548,1469,6013,4014,750,6633,7959,6899,4265,4879,363,449,447,2709,2.41349,2.3451,90862,96630,1.74614e+06
MaxMun_51338,1104,726,1990,1356,396,3724,4869,3370,970,5145,2880,3048,1870,3427,751,1361,2084,632,1067,1357,4022,1283,4816,4017,753,5298,7966,5343,4161,4267,227,443,388,2310,1088,733,2082,1623,285,3464,6379,3437,845,4796,2457,3123,1928,3740,743,1505,1792,739,1522,1720,3770,1197,4762,4018,605,5108,8255,4650,3967,4000,286,313,412,2613,2.49128,2.52016,87422.9,87953.8,1.57929e+06
MaxMun_51339,1345,921,2511,1680,386,3976,5575,3439,1209,5414,2883,3550,2074,3660,759,1573,2212,782,1985,1640,4452,1322,5134,4491,1043,6301,7703,5779,4337,4403,148,531,471,2469,1058,1014,2473,1582,465,4015,6327,3887,1228,5823,2756,3734,2214,3766,815,1836,1340,1042,1697,1865,4496,1688,4882,4440,768,7124,8613,5654,3795,3982,343,479,337,2921,2.56422,2.51219,96155.7,98459,1.73423e+06
MaxMun_51340,1470,500,2241,1404,333,3671,5237,2874,1120,4640,2749,3342,2016,3504,898,1314,1429,616,951,1375,4090,1086,5026,4150,899,5525,7563,5629,3551,4158,226,515,326,2389,1209,734,1812,1238,346,3748,6129,2955,1022,4058,2696,2975,1921,3778,869,1335,1182,758,1568,1296,4138,1415,4740,4114,636,5791,7052,5550,3337,4212,299,442,285,2357,2.4607,2.4885,86816.3,85994.8,1.63603e+06
MaxMun_51341,1015,627,2760,1798,408,3571,4567,2914,1188,5926,2451,3425,1379,3073,739,1463,1860,644,1578,1412,4322,1268,4852,3991,850,6235,7726,6406,4151,4115,231,456,566,2314,1245,766,2190,1756,405,3389,5724,3148,991,5735,2145,3208,1835,3380,750,1248,1533,710,1516,1776,4136,1089,5473,4399,497,6121,7592,6353,4020,3746,307,424,477,2355,2.39269,2.38444,90281.4,90440.2,1.57929e+06
MaxMun_51342,967,592,2613,1617,521,4199,4401,3845,956,4928,2746,3585,1997,3277,723,1456,1796,596,1371,1881,4443,1466,4752,4168,794,5995,7220,7162,4022,4107,242,423,467,2341,929,861,2286,1386,303,3663,5864,2673,911,5182,2660,3667,1832,3804,871,1506,1328,899,1596,1821,4349,1272,5062,4689,861,5759,7393,6995,3966,3635,261,470,308,2273,2.53207,2.54423,91672.7,91332.9,1.6377e+06
MaxMun_51343,999,778,2827,1452,323,3644,4608,3869,1518,5866,2954,3905,2032,3597,789,1343,1866,612,1221,1490,4332,1328,4748,3921,1070,7010,8186,6089,4156,4915,196,440,542,2461,908,882,2364,1898,365,3373,6509,4179,1044,5781,2628,3706,2009,4506,844,1675,1360,858,1531,1680,3969,1314,5231,4082,842,7318,8227,5976,3659,4199,296,445,340,2408,2.50596,2.51318,95083.8,96406.1,1.68673e+06
MaxMun_51344,1130,739,2563,1541,419,3771,4816,3613,1330,6599,3310,3720,1842,4170,704,1591,2056,871,1548,1735,4349,1324,5703,4322,945,7028,7658,5531,4505,3893,242,512,460,2770,985,667,3111,1637,473,3454,6250,3851,1286,6473,3269,3973,2161,4430,789,1704,1539,1094,2010,2087,4155,1412,5176,4400,768,6677,8639,5555,4335,4145,275,480,442,2685,2.5372,2.57634,97309.1,100385,1.77238e+06
MaxMun_51345,788,436,2847,1993,433,2981,4316,3206,1041,5023,2441,4101,1673,2831,620,1316,1554,575,1318,1943,4509,995,4717,3547,670,5728,6905,5569,4014,4604,240,524,475,2222,930,964,2389,1659,367,3510,5765,3109,1100,5294,2316,4021,1683,3356,653,1590,1316,687,1329,1969,4069,1614,4878,3500,809,5586,7095,5673,3701,3376,230,434,310,2322,2.43106,2.44222,86157.5,87603.9,1.45747e+06
