"FS51_roi","FS53_roi","r_value","p_value"
"R.parsORB","L.preCEN",0.355894119928926,1.61939760199563e-30
"R.parsORB","L.infP",0.468912146320625,1.65150511916012e-54
"R.parsORB","R.infP",0.446524757495232,5.29001626883113e-49
"R.parsORB","R.INS",0.0697105054539316,0.0294295282568976
"R.parsORB","R.caumidF",0.512125447833313,2.30290543935722e-66
"R.parsORB","R.paraCEN",0.435742415594025,1.7068990384151e-46
"R.parsORB","L.infT",0.337861857815414,1.73653451623852e-27
"R.parsORB","R.supF",0.610638877798897,8.52787845020515e-101
"R.parsORB","L.paraH",0.0685394606316635,0.0322728023452271
"R.parsORB","L.midT",0.386900054375836,3.32036641292336e-36
"R.parsORB","R.paraH",0.0897596973451907,0.00501209744938405
"R.parsORB","L.isthCG",0.12033917455838,0.000164296956504816
"R.parsORB","L.parsTRI",0.575644442279404,3.25922374724889e-87
"R.parsORB","R.infT",0.270515227600314,7.88854096273638e-18
"R.parsORB","R.latorbF",0.632574996912005,3.25201310507702e-110
"R.parsORB","L.rosmidF",0.604076996456982,4.04381808670165e-98
"R.parsORB","L.supF",0.565227798878405,1.7665744391534e-83
"R.parsORB","R.cauantCG",0.141106181687123,9.65291909614667e-06
"R.parsORB","L.LG",0.298929045585806,1.34816769012739e-21
"R.parsORB","R.isthCG",0.107270382963073,0.000788989399178473
"R.parsORB","L.medorbF",0.486009476356971,5.35951786292122e-59
"R.parsORB","R.SM",0.428528655811798,7.25831847665858e-45
"R.parsORB","L.supT",0.318922447624964,1.63503332795264e-24
"R.parsORB","R.midT",0.343887132656276,1.77465601301274e-28
"R.parsORB","L.postCEN",0.345097913645624,1.1153684794116e-28
"R.parsORB","R.latO",0.211380394950381,2.54431802528878e-11
"R.parsORB","R.parOP",0.489040358562398,8.06350614882505e-60
"R.parsORB","L.paraCEN",0.446500470877418,5.36055624266192e-49
"R.parsORB","R.parsTRI",0.666261798927221,2.95793525469273e-126
"R.parsORB","R.medorbF",0.506802899347165,8.23972009883599e-65
"R.parsORB","R.CN",0.210515871590999,3.07618606007175e-11
"R.parsORB","L.INS",0.152495408830281,1.7011962128473e-06
"L.preCN","L.cauantCG",0.355780579670187,1.69456283880708e-30
"L.preCN","L.parsORB",0.445641862381011,8.55642368763443e-49
"L.preCN","R.parsORB",0.378658629499666,1.24153318795751e-34
"L.preCN","L.preCN",0.930700699599663,0
"L.preCN","R.ENT",0.0861184934536435,0.00710286835404545
"L.preCN","L.CN",0.682378507183788,1.06653457071965e-134
"L.preCN","R.periCAL",0.498447405403892,1.99587311110332e-62
"L.preCN","L.rosantCG",0.389383603886787,1.09232939606383e-36
"L.preCN","L.caumidF",0.515665352581888,2.05900081151438e-67
"L.preCN","R.rosantCG",0.288021140541777,4.23946669319264e-20
"L.preCN","L.latO",0.656091107035366,3.40372605970986e-121
"L.preCN","L.FUS",0.517369751099635,6.37296562062619e-68
"L.preCN","R.LG",0.650310454314999,2.09770881521132e-118
"L.preCN","R.postCEN",0.639187098190704,3.32456263823274e-113
"L.preCN","L.periCAL",0.519991360199806,1.03579806999967e-68
"L.preCN","L.SM",0.643188788596366,4.74157218840963e-115
"L.preCN","L.parOP",0.559304838094454,2.04966089797877e-81
"L.preCN","L.supP",0.795583652570904,3.3563134132423e-214
"L.preCN","R.posCG",0.474080111648565,7.72302736098862e-56
"L.preCN","L.ENT",0.0979911466466354,0.00217817939805418
"L.preCN","R.FUS",0.522555216792535,1.72540742397686e-69
"L.preCN","R.supP",0.740939897870031,1.33401482927658e-170
"L.preCN","R.supT",0.43634107841743,1.24529635834142e-46
"L.preCN","R.rosmidF",0.508008110450378,3.68568156522687e-65
"L.preCN","R.preCEN",0.595771139300806,8.05107018282093e-95
"L.preCN","L.latorbF",0.548202176288284,1.17882508258288e-77
"L.preCN","L.transT",0.520731353783951,6.18439141826623e-69
"L.preCN","L.posCG",0.513560598012338,8.6822512660467e-67
"L.preCN","R.transT",0.493646235527856,4.37054506616667e-61
"L.preCN","R.preCN",0.83948014827405,3.03647639522981e-260
"L.preCN","L.preCEN",0.594408495620271,2.74112152912627e-94
"L.preCN","L.infP",0.765432579644639,1.14867656289665e-188
"L.preCN","R.infP",0.738134188989,1.15874294584884e-168
"L.preCN","R.INS",0.435971753653145,1.51280382059908e-46
"L.preCN","R.caumidF",0.518643435211214,2.64144802380758e-68
"L.preCN","R.paraCEN",0.686900093541305,3.63303043481521e-137
"L.preCN","L.infT",0.439522266222157,2.30678359641816e-47
"L.preCN","R.supF",0.537561754386006,3.50482975965348e-74
"L.preCN","L.paraH",0.247095665806704,4.82570007476207e-15
"L.preCN","L.midT",0.427701208443545,1.10953053658263e-44
"L.preCN","R.paraH",0.272435689035643,4.52816411454266e-18
"L.preCN","L.isthCG",0.420590919758267,4.05417217894704e-43
"L.preCN","L.parsTRI",0.529013900009572,1.7630006217871e-71
"L.preCN","R.infT",0.444030531252137,2.05043939722329e-48
"L.preCN","R.latorbF",0.426323792582043,2.24288406283624e-44
"L.preCN","L.rosmidF",0.57684019117418,1.19084484264916e-87
"L.preCN","L.supF",0.60989426359721,1.72844374879179e-100
"L.preCN","R.cauantCG",0.323172167315452,3.66803688888077e-25
"L.preCN","L.LG",0.666040809125204,3.82897140683606e-126
"L.preCN","R.isthCG",0.438178252738347,4.71336086686036e-47
"L.preCN","L.medorbF",0.504017461175682,5.22503128467115e-64
"L.preCN","R.SM",0.648322702864453,1.84930070619585e-117
"L.preCN","L.supT",0.427880077778515,1.01237591359878e-44
"L.preCN","R.midT",0.447812414200414,2.61684503909927e-49
"L.preCN","L.postCEN",0.644360236110097,1.35002229482606e-115
"L.preCN","R.latO",0.609964044870844,1.61784502151216e-100
"L.preCN","R.parOP",0.501190770526385,3.34655460653547e-63
"L.preCN","L.paraCEN",0.740298716090458,3.71921694887066e-170
"L.preCN","R.parsTRI",0.475968515516983,2.48916488219189e-56
"L.preCN","R.medorbF",0.378088159535812,1.58915219089694e-34
"L.preCN","R.CN",0.654080220599111,3.23140452587876e-120
"L.preCN","L.INS",0.477346078299523,1.08491402531431e-56
"R.ENT","L.cauantCG",-0.0369967425883419,0.248201278066137
"R.ENT","L.parsORB",0.174043226041076,4.44655315911031e-08
"R.ENT","R.parsORB",0.17857255300939,1.94480236599051e-08
"R.ENT","L.preCN",0.187035774347079,3.91540873147248e-09
"R.ENT","R.ENT",0.8139153572633,6.19812924856694e-232
"R.ENT","L.CN",0.141194209145542,9.52900991677623e-06
"R.ENT","R.periCAL",0.106685056814728,0.000843206840455336
"R.ENT","L.rosantCG",0.147566276728459,3.66412826546348e-06
"R.ENT","L.caumidF",0.0300094246971638,0.348998370459506
"R.ENT","R.rosantCG",0.0344980661530533,0.28161726545769
"R.ENT","L.latO",0.24970595370277,2.43683713626134e-15
"R.ENT","L.FUS",0.406348607763814,4.24179522889617e-40
"R.ENT","R.LG",0.279265402221893,6.0654860885925e-19
"R.ENT","R.postCEN",0.221915810311269,2.3562036891272e-12
"R.ENT","L.periCAL",0.0843788237862228,0.00835429639271226
"R.ENT","L.SM",0.211808444794691,2.3153725746551e-11
"R.ENT","L.parOP",0.184823500782925,5.99649895502522e-09
"R.ENT","L.supP",0.248064513957404,3.74820628939453e-15
"R.ENT","R.posCG",-0.0408163402101796,0.202649213170742
"R.ENT","L.ENT",0.574638362624202,7.57916060026026e-87
"R.ENT","R.FUS",0.49824011785267,2.28268396971971e-62
"R.ENT","R.supP",0.265973383842606,2.88050504894193e-17
"R.ENT","R.supT",0.383392770745898,1.57041226307462e-35
"R.ENT","R.rosmidF",-0.0110911426542316,0.729293879629974
"R.ENT","R.preCEN",0.141034418750642,9.75506959425154e-06
"R.ENT","L.latorbF",0.330743925888466,2.40982425352166e-26
"R.ENT","L.transT",0.248377259446636,3.45381787603847e-15
"R.ENT","L.posCG",-0.0372108879055803,0.245472035876567
"R.ENT","R.transT",0.261119086503981,1.11893442375989e-16
"R.ENT","R.preCN",0.187074812892584,3.88588756554214e-09
"R.ENT","L.preCEN",0.185007354512019,5.78893392001563e-09
"R.ENT","L.infP",0.241499651554912,2.03322326042849e-14
"R.ENT","R.infP",0.250757351370893,1.84643606008032e-15
"R.ENT","R.INS",0.2960202790724,3.43122792518151e-21
"R.ENT","R.caumidF",0.0107520946027084,0.737258949231171
"R.ENT","R.paraCEN",0.190343316317627,2.05026075508538e-09
"R.ENT","L.infT",0.355234451136537,2.10728316365432e-30
"R.ENT","R.supF",0.010608701639551,0.74063615556755
"R.ENT","L.paraH",0.242960584925268,1.40160782671403e-14
"R.ENT","L.midT",0.322259084324757,5.06727182291728e-25
"R.ENT","R.paraH",0.307618968101813,7.75928924450604e-23
"R.ENT","L.isthCG",0.0208541513990563,0.515214089326772
"R.ENT","L.parsTRI",0.0739541571309188,0.020854650222611
"R.ENT","R.infT",0.432759510283129,8.13630521549053e-46
"R.ENT","R.latorbF",0.299722389032277,1.04299593835816e-21
"R.ENT","L.rosmidF",0.0292080894663831,0.362024082150832
"R.ENT","L.supF",0.0854242922317592,0.00758055411707118
"R.ENT","R.cauantCG",-0.0730557830246583,0.0224621198492904
"R.ENT","L.LG",0.239284433970871,3.55737394027833e-14
"R.ENT","R.isthCG",-0.0203261346177172,0.52591082306508
"R.ENT","L.medorbF",0.213745904212473,1.50722246334865e-11
"R.ENT","R.SM",0.214992192351346,1.14103593372605e-11
"R.ENT","L.supT",0.390248192081271,7.40104105243387e-37
"R.ENT","R.midT",0.332646010464866,1.20134990818136e-26
"R.ENT","L.postCEN",0.234624574848269,1.13302470894121e-13
"R.ENT","R.latO",0.290833295811309,1.767759869469e-20
"R.ENT","R.parOP",0.173178158316148,5.19473067512164e-08
"R.ENT","L.paraCEN",0.191759883761672,1.54857366341701e-09
"R.ENT","R.parsTRI",0.0831860892979208,0.00932255043117434
"R.ENT","R.medorbF",0.0784386765785773,0.0142404696975429
"R.ENT","R.CN",0.206302200633122,7.66929717280594e-11
"R.ENT","L.INS",0.278347677856606,7.97286957525262e-19
"L.CN","L.cauantCG",0.278011747546588,8.80989406816604e-19
"L.CN","L.parsORB",0.252765445497597,1.08305031384575e-15
"L.CN","R.parsORB",0.197229492497955,5.1359027995647e-10
"L.CN","L.preCN",0.648054680752165,2.47697629191211e-117
"L.CN","R.ENT",0.054972936685321,0.0860693459470134
"L.CN","L.CN",0.910041627384782,0
"L.CN","R.periCAL",0.648492304902691,1.53684818648167e-117
"L.CN","L.rosantCG",0.317207189417232,2.96874140391244e-24
"L.CN","L.caumidF",0.269672771294381,1.00494139945209e-17
"L.CN","R.rosantCG",0.217264878263993,6.8384472868825e-12
"L.CN","L.latO",0.64975554631587,3.85782830291208e-118
"L.CN","L.FUS",0.392773619959878,2.35818039705744e-37
"L.CN","R.LG",0.687840145689419,1.10037237215309e-137
"L.CN","R.postCEN",0.500001745800351,7.27102627805278e-63
"L.CN","L.periCAL",0.691472107407535,1.04389358701054e-139
"L.CN","L.SM",0.370427355355484,4.17159078189085e-33
"L.CN","L.parOP",0.3192332227051,1.46693755227066e-24
"L.CN","L.supP",0.610755664508617,7.63212592511016e-101
"L.CN","R.posCG",0.373020707152769,1.39365128915789e-33
"L.CN","L.ENT",0.0768014173762043,0.0164029809597922
"L.CN","R.FUS",0.415682415932717,4.6247385340297e-42
"L.CN","R.supP",0.57148027199049,1.05165988552163e-85
"L.CN","R.supT",0.291452276693131,1.45623341382255e-20
"L.CN","R.rosmidF",0.294624689881972,5.35123823892926e-21
"L.CN","R.preCEN",0.372449239309893,1.77603036965463e-33
